account_id,customer_id,account_type,account_status,opened_date,home_country
A001,C003,CHECKING,SUSPENDED,2024-07-18,ES
A002,C029,CHECKING,SUSPENDED,2024-09-09,GB
A003,C014,SAVINGS,SUSPENDED,2024-04-05,DE
A004,C006,CHECKING,ACTIVE,2024-11-08,DE
A005,C016,BUSINESS,ACTIVE,2024-05-10,DE
A006,C005,SAVINGS,ACTIVE,2024-10-19,ES
A007,C005,BUSINESS,ACTIVE,2024-08-28,GB
A008,C026,BUSINESS,SUSPENDED,2024-07-13,NL
A009,C004,SAVINGS,SUSPENDED,2024-01-07,DE
A010,C007,SAVINGS,ACTIVE,2024-02-11,IT
A011,C002,CHECKING,ACTIVE,2024-10-05,IT
A012,C004,SAVINGS,ACTIVE,2024-02-28,FR
A013,C020,SAVINGS,ACTIVE,2024-11-09,ES
A014,C020,SAVINGS,SUSPENDED,2024-02-04,NL
A015,C015,SAVINGS,SUSPENDED,2024-05-03,FR
A016,C004,BUSINESS,ACTIVE,2024-12-09,NL
A017,C027,BUSINESS,ACTIVE,2024-09-01,FR
A018,C017,SAVINGS,ACTIVE,2024-12-18,DE
A019,C025,BUSINESS,ACTIVE,2024-11-28,DE
A020,C023,SAVINGS,ACTIVE,2024-03-12,FR
A021,C018,BUSINESS,ACTIVE,2024-11-08,IT
A022,C026,CHECKING,ACTIVE,2024-07-24,FR
A023,C007,BUSINESS,SUSPENDED,2024-06-24,DE
A024,C001,SAVINGS,SUSPENDED,2024-05-07,GB
A025,C020,SAVINGS,SUSPENDED,2024-12-12,ES
A026,C003,CHECKING,ACTIVE,2024-04-16,FR
A027,C011,CHECKING,SUSPENDED,2024-10-20,DE
A028,C016,BUSINESS,ACTIVE,2024-11-03,GB
A029,C004,SAVINGS,ACTIVE,2024-08-06,NL
A030,C026,BUSINESS,ACTIVE,2024-02-26,GB
A031,C013,SAVINGS,SUSPENDED,2024-12-03,GB
A032,C006,CHECKING,ACTIVE,2024-01-05,IT
A033,C029,SAVINGS,ACTIVE,2024-10-27,IT
A034,C016,BUSINESS,ACTIVE,2024-03-18,IT
A035,C005,CHECKING,ACTIVE,2024-12-21,DE
A036,C017,BUSINESS,ACTIVE,2024-07-28,FR
A037,C027,CHECKING,ACTIVE,2024-05-07,ES
A038,C017,CHECKING,ACTIVE,2024-05-18,NL
A039,C027,CHECKING,ACTIVE,2024-12-12,NL
A040,C022,BUSINESS,SUSPENDED,2024-09-05,IT
