customer_id,customer_segment,customer_country,signup_date,risk_flag
C001,PREMIUM,FR,2025-07-21,LOW
C002,STANDARD,IT,2025-02-12,HIGH
C003,STANDARD,IT,2025-04-02,LOW
C004,PREMIUM,NL,2025-02-08,LOW
C005,BUSINESS,NL,2025-01-27,HIGH
C006,STANDARD,FR,2025-11-21,HIGH
C007,STANDARD,IT,2025-10-13,LOW
C008,STANDARD,DE,2025-09-28,LOW
C009,PREMIUM,NL,2025-03-18,LOW
C010,BUSINESS,ES,2025-09-27,HIGH
C011,STANDARD,DE,2025-10-19,HIGH
C012,STANDARD,ES,2025-02-18,HIGH
C013,STANDARD,IT,2025-01-20,LOW
C014,PREMIUM,GB,2025-09-14,MEDIUM
C015,PREMIUM,IT,2025-08-12,MEDIUM
C016,STANDARD,FR,2025-12-25,LOW
C017,STANDARD,IT,2025-05-17,MEDIUM
C018,PREMIUM,GB,2025-08-10,HIGH
C019,STANDARD,DE,2025-09-14,LOW
C020,PREMIUM,FR,2025-08-14,LOW
C021,BUSINESS,DE,2025-09-19,MEDIUM
C022,PREMIUM,GB,2025-06-20,MEDIUM
C023,BUSINESS,NL,2025-02-27,LOW
C024,PREMIUM,NL,2025-12-22,LOW
C025,STANDARD,GB,2025-12-10,HIGH
C026,BUSINESS,GB,2025-08-10,HIGH
C027,PREMIUM,GB,2025-06-01,MEDIUM
C028,PREMIUM,FR,2025-10-04,MEDIUM
C029,STANDARD,FR,2025-05-05,HIGH
C030,STANDARD,NL,2025-07-28,MEDIUM
