transaction_id,account_id,customer_id,transaction_type,amount,currency,transaction_status,payment_channel,merchant_country,transaction_date
T0001,A010,C007,DEPOSIT,2619.92,EUR,SUCCESSFUL,BANK_TRANSFER,IT,2026-03-01
T0002,A010,C007,PAYMENT,865.87,EUR,SUCCESSFUL,ATM,DE,2026-03-11
T0003,A034,C016,PAYMENT,2655.98,EUR,SUCCESSFUL,ATM,DE,2026-03-08
T0004,A013,C020,DEPOSIT,1388.2,EUR,SUCCESSFUL,ATM,DE,2026-03-03
T0005,A029,C004,TRANSFER,1631.44,EUR,PENDING,MOBILE_APP,NL,2026-03-17
T0006,A035,C005,TRANSFER,4037.77,EUR,SUCCESSFUL,ATM,ES,
T0007,A013,C020,PAYMENT,4200.8,EUR,SUCCESSFUL,WEB,NL,2026-03-11
T0008,A005,C016,TRANSFER,3357.42,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-05
T0009,A024,C001,DEPOSIT,719.18,EUR,FAILED,BANK_TRANSFER,GB,2026-03-04
T0010,A026,C003,TRANSFER,4425.24,EUR,SUCCESSFUL,BANK_TRANSFER,GB,2026-03-14
T0011,A033,C029,WITHDRAWAL,2022.03,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-12
T0012,A002,C029,PAYMENT,1693.21,EUR,SUCCESSFUL,WEB,ES,2026-03-17
T0013,A040,C022,PAYMENT,1480.79,EUR,pending,BANK_TRANSFER,DE,2026-03-03
T0014,A017,C027,TRANSFER,1363.24,EUR,FAILED,MOBILE_APP,FR,2026-03-14
T0015,A017,C027,DEPOSIT,2032.71,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-09
T0016,A004,C006,PAYMENT,3998.94,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-21
T0017,A006,C005,TRANSFER,4009.13,EUR,SUCCESSFUL,card,ES,2026-03-04
T0018,A030,C026,DEPOSIT,62.67,EUR,PENDING,MOBILE_APP,IT,2026-03-05
T0019,A003,C014,PAYMENT,2636.94,EUR,SUCCESSFUL,BANK_TRANSFER,ES,2026-03-02
T0020,,C004,WITHDRAWAL,1012.83,EUR,SUCCESSFUL,ATM,FR,2026-03-10
T0021,A029,C004,WITHDRAWAL,2502.94,EUR,SUCCESSFUL,CARD,ES,2026-03-02
T0022,A001,C003,TRANSFER,97.08,EUR,SUCCESSFUL,ATM,NL,2026-03-08
T0023,A029,C004,DEPOSIT,535.88,EUR,FAILED,WEB,IT,2026-03-13
T0024,A033,C029,TRANSFER,1542.38,EUR,SUCCESSFUL,MOBILE_APP,FR,2026-03-21
T0024,A009,C004,PAYMENT,2026.47,EUR,SUCCESSFUL,BANK_TRANSFER,DE,2026-03-03
T0026,A017,C027,DEPOSIT,2156.55,EUR,successful,ATM,GB,2026-03-10
T0027,A039,C027,DEPOSIT,1214.85,EUR,SUCCESSFUL,BANK_TRANSFER,FR,2026-03-09
T0028,A029,C004,WITHDRAWAL,23.1,EUR,SUCCESSFUL,ATM,ES,2026-03-08
T0029,A003,C014,WITHDRAWAL,4828.51,EUR,SUCCESSFUL,BANK_TRANSFER,DE,2026-03-11
T0030,A025,C020,TRANSFER,424.03,EUR,SUCCESSFUL,BANK_TRANSFER,IT,2026-03-01
T0031,A006,C005,DEPOSIT,1324.52,EUR,SUCCESSFUL,ATM,DE,2026-03-13
T0032,A002,C029,PAYMENT,1501.73,EUR,SUCCESSFUL,ATM,IT,2026-03-05
T0033,A039,C027,DEPOSIT,1950.63,EUR,SUCCESSFUL,BANK_TRANSFER,ES,2026-03-20
T0034,A010,C007,DEPOSIT,223.72,EUR,FAILED,atm,FR,2026-03-17
T0035,A033,C029,PAYMENT,2844.56,EUR,FAILED,ATM,GB,2026-03-21
